timesteps,episode_reward
73,73.0
91,18.0
146,55.0
189,43.0
253,64.0
294,41.0
336,42.0
355,19.0
381,26.0
420,39.0
455,35.0
473,18.0
528,55.0
556,28.0
603,47.0
661,58.0
703,42.0
737,34.0
786,49.0
814,28.0
852,38.0
937,85.0
969,32.0
1009,40.0
1056,47.0
1090,34.0
1130,40.0
1157,27.0
1206,49.0
1240,34.0
1284,44.0
1308,24.0
1339,31.0
1399,60.0
1441,42.0
1455,14.0
1503,48.0
1534,31.0
1583,49.0
1625,42.0
1676,51.0
1734,58.0
1809,75.0
1843,34.0
1870,27.0
1985,115.0
2032,47.0
2078,46.0
2093,15.0
2149,56.0
2176,27.0
2204,28.0
2231,27.0
2259,28.0
2295,36.0
2438,143.0
2471,33.0
2523,52.0
2564,41.0
2619,55.0
2675,56.0
2729,54.0
2776,47.0
2873,97.0
2930,57.0
3005,75.0
3082,77.0
3100,18.0
3133,33.0
3166,33.0
3217,51.0
3249,32.0
3302,53.0
3349,47.0
3431,82.0
3497,66.0
3543,46.0
3580,37.0
3625,45.0
3659,34.0
3704,45.0
3766,62.0
3807,41.0
3885,78.0
3928,43.0
3965,37.0
4003,38.0
4043,40.0
4082,39.0
4173,91.0
4228,55.0
4251,23.0
4303,52.0
4359,56.0
4438,79.0
4473,35.0
4513,40.0
4556,43.0
4626,70.0
4660,34.0
4724,64.0
4819,95.0
4872,53.0
4950,78.0
4998,48.0
5032,34.0
5094,62.0
5128,34.0
5193,65.0
5228,35.0
5270,42.0
5320,50.0
5358,38.0
5395,37.0
5429,34.0
5480,51.0
5546,66.0
5575,29.0
5646,71.0
5787,141.0
5955,168.0
6014,59.0
6088,74.0
6153,65.0
6314,161.0
6376,62.0
6447,71.0
6533,86.0
6607,74.0
6674,67.0
6763,89.0
6819,56.0
6924,105.0
7035,111.0
7138,103.0
7239,101.0
7307,68.0
7387,80.0
7428,41.0
7548,120.0
7876,328.0
7926,50.0
7964,38.0
8055,91.0
8168,113.0
8244,76.0
8441,197.0
8516,75.0
8830,314.0
9207,377.0
9723,516.0
