timesteps,episode_reward
8,8.0
13,5.0
19,6.0
23,4.0
33,10.0
39,6.0
48,9.0
55,7.0
67,12.0
72,5.0
78,6.0
82,4.0
89,7.0
96,7.0
101,5.0
105,4.0
115,10.0
120,5.0
125,5.0
135,10.0
146,11.0
155,9.0
165,10.0
175,10.0
186,11.0
199,13.0
204,5.0
216,12.0
231,15.0
242,11.0
248,6.0
253,5.0
265,12.0
270,5.0
275,5.0
295,20.0
301,6.0
305,4.0
316,11.0
326,10.0
335,9.0
341,6.0
344,3.0
347,3.0
351,4.0
358,7.0
366,8.0
370,4.0
396,26.0
401,5.0
408,7.0
419,11.0
431,12.0
438,7.0
442,4.0
450,8.0
460,10.0
463,3.0
468,5.0
476,8.0
480,4.0
485,5.0
492,7.0
514,22.0
520,6.0
528,8.0
532,4.0
540,8.0
549,9.0
554,5.0
559,5.0
574,15.0
590,16.0
596,6.0
602,6.0
609,7.0
615,6.0
622,7.0
627,5.0
635,8.0
647,12.0
653,6.0
658,5.0
664,6.0
680,16.0
688,8.0
694,6.0
703,9.0
708,5.0
715,7.0
720,5.0
726,6.0
740,14.0
747,7.0
754,7.0
759,5.0
776,17.0
781,5.0
790,9.0
798,8.0
802,4.0
808,6.0
813,5.0
818,5.0
826,8.0
837,11.0
842,5.0
847,5.0
858,11.0
874,16.0
878,4.0
903,25.0
910,7.0
916,6.0
931,15.0
941,10.0
945,4.0
950,5.0
955,5.0
965,10.0
970,5.0
975,5.0
981,6.0
986,5.0
991,5.0
995,4.0
1000,5.0
1008,8.0
1013,5.0
1016,3.0
1020,4.0
1023,3.0
1029,6.0
1037,8.0
1045,8.0
1050,5.0
1058,8.0
1072,14.0
1079,7.0
1084,5.0
1092,8.0
1108,16.0
1125,17.0
1131,6.0
1145,14.0
1156,11.0
1160,4.0
1167,7.0
1177,10.0
1184,7.0
1192,8.0
1207,15.0
1215,8.0
1219,4.0
1234,15.0
1248,14.0
1258,10.0
1268,10.0
1272,4.0
1279,7.0
1289,10.0
1296,7.0
1303,7.0
1325,22.0
1330,5.0
1341,11.0
1355,14.0
1361,6.0
1370,9.0
1385,15.0
1394,9.0
1400,6.0
1406,6.0
1409,3.0
1417,8.0
1438,21.0
1459,21.0
1465,6.0
1476,11.0
1481,5.0
1487,6.0
1497,10.0
1524,27.0
1530,6.0
1537,7.0
1547,10.0
1556,9.0
1574,18.0
1582,8.0
1588,6.0
1593,5.0
1599,6.0
1607,8.0
1622,15.0
1626,4.0
1640,14.0
1651,11.0
1670,19.0
1682,12.0
1704,22.0
1708,4.0
1727,19.0
1745,18.0
1749,4.0
1761,12.0
1766,5.0
1780,14.0
1783,3.0
1790,7.0
1803,13.0
1811,8.0
1823,12.0
1828,5.0
1833,5.0
1839,6.0
1846,7.0
1853,7.0
1861,8.0
1878,17.0
1886,8.0
1901,15.0
1909,8.0
1924,15.0
1930,6.0
1934,4.0
1939,5.0
1956,17.0
1961,5.0
1975,14.0
1982,7.0
1998,16.0
2008,10.0
2015,7.0
2021,6.0
2032,11.0
2049,17.0
2060,11.0
2066,6.0
2074,8.0
2081,7.0
2086,5.0
2096,10.0
2107,11.0
2117,10.0
2123,6.0
2138,15.0
2149,11.0
2157,8.0
2162,5.0
2181,19.0
2187,6.0
2201,14.0
2205,4.0
2210,5.0
2236,26.0
2264,28.0
2268,4.0
2275,7.0
2295,20.0
2300,5.0
2308,8.0
2312,4.0
2340,28.0
2348,8.0
2355,7.0
2362,7.0
2366,4.0
2386,20.0
2400,14.0
2432,32.0
2453,21.0
2461,8.0
2467,6.0
2472,5.0
2483,11.0
2489,6.0
2504,15.0
2510,6.0
2531,21.0
2542,11.0
2574,32.0
2582,8.0
2600,18.0
2608,8.0
2631,23.0
2650,19.0
2673,23.0
2677,4.0
2684,7.0
2689,5.0
2694,5.0
2716,22.0
2727,11.0
2737,10.0
2747,10.0
2766,19.0
2783,17.0
2797,14.0
2805,8.0
2815,10.0
2820,5.0
2835,15.0
2855,20.0
2876,21.0
2899,23.0
2907,8.0
2916,9.0
2923,7.0
2929,6.0
2944,15.0
2953,9.0
2961,8.0
2978,17.0
2985,7.0
2997,12.0
3009,12.0
3021,12.0
3027,6.0
3046,19.0
3058,12.0
3075,17.0
3089,14.0
3129,40.0
3146,17.0
3164,18.0
3169,5.0
3188,19.0
3196,8.0
3244,48.0
3252,8.0
3278,26.0
3312,34.0
3337,25.0
3343,6.0
3354,11.0
3371,17.0
3378,7.0
3385,7.0
3415,30.0
3424,9.0
3448,24.0
3474,26.0
3480,6.0
3497,17.0
3523,26.0
3532,9.0
3539,7.0
3547,8.0
3554,7.0
3561,7.0
3568,7.0
3571,3.0
3591,20.0
3598,7.0
3612,14.0
3624,12.0
3634,10.0
3651,17.0
3671,20.0
3694,23.0
3706,12.0
3713,7.0
3722,9.0
3728,6.0
3738,10.0
3769,31.0
3778,9.0
3785,7.0
3794,9.0
3799,5.0
3805,6.0
3822,17.0
3871,49.0
3883,12.0
3901,18.0
3906,5.0
3914,8.0
3942,28.0
3958,16.0
3965,7.0
3982,17.0
4003,21.0
4029,26.0
4059,30.0
4067,8.0
4082,15.0
4137,55.0
4150,13.0
4175,25.0
4192,17.0
4220,28.0
4229,9.0
4240,11.0
4253,13.0
4259,6.0
4285,26.0
4321,36.0
4365,44.0
4414,49.0
4430,16.0
4437,7.0
4473,36.0
4489,16.0
4546,57.0
4606,60.0
4638,32.0
4674,36.0
4710,36.0
4763,53.0
4770,7.0
4795,25.0
4813,18.0
4828,15.0
4845,17.0
4909,64.0
4920,11.0
4940,20.0
4956,16.0
4980,24.0
5024,44.0
5076,52.0
5100,24.0
5129,29.0
5165,36.0
5175,10.0
5202,27.0
5238,36.0
5258,20.0
5359,101.0
5406,47.0
5440,34.0
5451,11.0
5474,23.0
5510,36.0
5538,28.0
5553,15.0
5567,14.0
5589,22.0
5692,103.0
5736,44.0
5782,46.0
5859,77.0
5874,15.0
5943,69.0
5987,44.0
6000,13.0
6012,12.0
6075,63.0
6101,26.0
6172,71.0
6241,69.0
6291,50.0
6360,69.0
6379,19.0
6427,48.0
6448,21.0
6525,77.0
6606,81.0
6690,84.0
6752,62.0
6805,53.0
6857,52.0
6906,49.0
6967,61.0
7036,69.0
7077,41.0
7135,58.0
7219,84.0
7325,106.0
7419,94.0
7496,77.0
7560,64.0
7672,112.0
7734,62.0
7830,96.0
7865,35.0
7903,38.0
7964,61.0
8019,55.0
8040,21.0
8174,134.0
8253,79.0
8298,45.0
8339,41.0
8377,38.0
8427,50.0
8504,77.0
8527,23.0
8560,33.0
8714,154.0
8853,139.0
8939,86.0
9058,119.0
9219,161.0
9285,66.0
9394,109.0
9546,152.0
9667,121.0
9725,58.0
9805,80.0
9958,153.0
10117,159.0
10195,78.0
10316,121.0
10417,101.0
10614,197.0
10752,138.0
10821,69.0
10840,19.0
10917,77.0
10973,56.0
11037,64.0
11105,68.0
11160,55.0
11278,118.0
11402,124.0
11457,55.0
11600,143.0
11724,124.0
11787,63.0
11855,68.0
11970,115.0
12126,156.0
12237,111.0
12424,187.0
12556,132.0
12619,63.0
12713,94.0
12856,143.0
13034,178.0
13117,83.0
13143,26.0
13185,42.0
13238,53.0
13337,99.0
13382,45.0
13460,78.0
13561,101.0
13850,289.0
13935,85.0
13966,31.0
14132,166.0
14294,162.0
14344,50.0
14572,228.0
14766,194.0
15014,248.0
15198,184.0
15301,103.0
15370,69.0
15501,131.0
16106,605.0
17106,1000.0
17178,72.0
17561,383.0
18147,586.0
18443,296.0
19115,672.0
19545,430.0
20545,1000.0
21545,1000.0
22488,943.0
22600,112.0
23600,1000.0
23981,381.0
24233,252.0
25233,1000.0
26233,1000.0
27233,1000.0
28233,1000.0
29171,938.0
29551,380.0
30551,1000.0
31551,1000.0
32551,1000.0
33551,1000.0
34551,1000.0
35551,1000.0
36551,1000.0
37551,1000.0
38551,1000.0
39551,1000.0
40551,1000.0
41551,1000.0
42551,1000.0
43551,1000.0
44551,1000.0
45551,1000.0
46551,1000.0
47551,1000.0
48551,1000.0
49551,1000.0
