timesteps,episode_reward
5,5.0
26,21.0
41,15.0
48,7.0
55,7.0
61,6.0
68,7.0
72,4.0
80,8.0
85,5.0
101,16.0
106,5.0
112,6.0
125,13.0
137,12.0
147,10.0
152,5.0
162,10.0
166,4.0
172,6.0
180,8.0
186,6.0
195,9.0
202,7.0
207,5.0
211,4.0
224,13.0
235,11.0
241,6.0
247,6.0
251,4.0
257,6.0
269,12.0
273,4.0
279,6.0
289,10.0
299,10.0
303,4.0
314,11.0
320,6.0
324,4.0
329,5.0
332,3.0
355,23.0
360,5.0
367,7.0
375,8.0
379,4.0
384,5.0
393,9.0
398,5.0
402,4.0
408,6.0
429,21.0
442,13.0
449,7.0
457,8.0
461,4.0
471,10.0
475,4.0
488,13.0
497,9.0
513,16.0
527,14.0
539,12.0
549,10.0
555,6.0
565,10.0
578,13.0
582,4.0
603,21.0
608,5.0
634,26.0
647,13.0
653,6.0
658,5.0
666,8.0
676,10.0
680,4.0
686,6.0
691,5.0
696,5.0
709,13.0
715,6.0
719,4.0
725,6.0
733,8.0
742,9.0
747,5.0
751,4.0
757,6.0
763,6.0
774,11.0
778,4.0
783,5.0
788,5.0
803,15.0
811,8.0
819,8.0
825,6.0
830,5.0
839,9.0
846,7.0
849,3.0
860,11.0
871,11.0
877,6.0
889,12.0
893,4.0
897,4.0
905,8.0
914,9.0
924,10.0
928,4.0
940,12.0
947,7.0
951,4.0
956,5.0
962,6.0
965,3.0
972,7.0
987,15.0
1010,23.0
1029,19.0
1044,15.0
1049,5.0
1055,6.0
1060,5.0
1065,5.0
1080,15.0
1098,18.0
1107,9.0
1147,40.0
1153,6.0
1158,5.0
1185,27.0
1194,9.0
1204,10.0
1215,11.0
1222,7.0
1228,6.0
1245,17.0
1256,11.0
1264,8.0
1275,11.0
1280,5.0
1294,14.0
1300,6.0
1311,11.0
1324,13.0
1333,9.0
1338,5.0
1347,9.0
1353,6.0
1359,6.0
1363,4.0
1386,23.0
1399,13.0
1404,5.0
1408,4.0
1412,4.0
1417,5.0
1427,10.0
1436,9.0
1451,15.0
1455,4.0
1462,7.0
1481,19.0
1485,4.0
1490,5.0
1501,11.0
1507,6.0
1525,18.0
1530,5.0
1547,17.0
1554,7.0
1558,4.0
1566,8.0
1570,4.0
1575,5.0
1591,16.0
1595,4.0
1613,18.0
1621,8.0
1629,8.0
1635,6.0
1650,15.0
1664,14.0
1681,17.0
1687,6.0
1694,7.0
1703,9.0
1712,9.0
1717,5.0
1721,4.0
1740,19.0
1757,17.0
1764,7.0
1778,14.0
1786,8.0
1790,4.0
1796,6.0
1810,14.0
1814,4.0
1818,4.0
1823,5.0
1828,5.0
1832,4.0
1835,3.0
1845,10.0
1859,14.0
1868,9.0
1884,16.0
1889,5.0
1902,13.0
1906,4.0
1913,7.0
1931,18.0
1943,12.0
1950,7.0
1980,30.0
1997,17.0
2013,16.0
2028,15.0
2039,11.0
2048,9.0
2058,10.0
2079,21.0
2085,6.0
2104,19.0
2118,14.0
2130,12.0
2136,6.0
2141,5.0
2147,6.0
2152,5.0
2159,7.0
2181,22.0
2185,4.0
2197,12.0
2209,12.0
2214,5.0
2228,14.0
2234,6.0
2248,14.0
2261,13.0
2272,11.0
2292,20.0
2301,9.0
2315,14.0
2325,10.0
2342,17.0
2348,6.0
2362,14.0
2367,5.0
2379,12.0
2394,15.0
2420,26.0
2436,16.0
2441,5.0
2460,19.0
2491,31.0
2495,4.0
2512,17.0
2526,14.0
2536,10.0
2563,27.0
2572,9.0
2584,12.0
2590,6.0
2596,6.0
2607,11.0
2622,15.0
2641,19.0
2649,8.0
2655,6.0
2665,10.0
2682,17.0
2698,16.0
2713,15.0
2729,16.0
2752,23.0
2786,34.0
2799,13.0
2812,13.0
2826,14.0
2857,31.0
2865,8.0
2877,12.0
2891,14.0
2896,5.0
2902,6.0
2908,6.0
2946,38.0
2955,9.0
2961,6.0
2966,5.0
2989,23.0
3000,11.0
3008,8.0
3026,18.0
3033,7.0
3042,9.0
3067,25.0
3078,11.0
3093,15.0
3104,11.0
3107,3.0
3124,17.0
3132,8.0
3141,9.0
3155,14.0
3168,13.0
3173,5.0
3182,9.0
3193,11.0
3197,4.0
3226,29.0
3230,4.0
3241,11.0
3255,14.0
3269,14.0
3274,5.0
3299,25.0
3305,6.0
3317,12.0
3342,25.0
3347,5.0
3362,15.0
3378,16.0
3383,5.0
3392,9.0
3399,7.0
3409,10.0
3419,10.0
3431,12.0
3459,28.0
3467,8.0
3482,15.0
3489,7.0
3502,13.0
3510,8.0
3515,5.0
3522,7.0
3537,15.0
3552,15.0
3561,9.0
3577,16.0
3585,8.0
3595,10.0
3601,6.0
3627,26.0
3647,20.0
3652,5.0
3671,19.0
3684,13.0
3700,16.0
3729,29.0
3742,13.0
3760,18.0
3765,5.0
3776,11.0
3782,6.0
3801,19.0
3807,6.0
3821,14.0
3838,17.0
3856,18.0
3877,21.0
3885,8.0
3894,9.0
3910,16.0
3927,17.0
3936,9.0
3952,16.0
3958,6.0
3972,14.0
3978,6.0
3982,4.0
4009,27.0
4017,8.0
4024,7.0
4042,18.0
4051,9.0
4065,14.0
4072,7.0
4090,18.0
4096,6.0
4115,19.0
4131,16.0
4148,17.0
4163,15.0
4175,12.0
4181,6.0
4194,13.0
4210,16.0
4217,7.0
4226,9.0
4253,27.0
4275,22.0
4289,14.0
4309,20.0
4327,18.0
4343,16.0
4369,26.0
4392,23.0
4411,19.0
4424,13.0
4438,14.0
4446,8.0
4456,10.0
4470,14.0
4486,16.0
4493,7.0
4514,21.0
4533,19.0
4548,15.0
4575,27.0
4587,12.0
4605,18.0
4624,19.0
4644,20.0
4662,18.0
4676,14.0
4693,17.0
4701,8.0
4716,15.0
4736,20.0
4759,23.0
4775,16.0
4780,5.0
4793,13.0
4804,11.0
4810,6.0
4818,8.0
4825,7.0
4840,15.0
4862,22.0
4876,14.0
4890,14.0
4896,6.0
4907,11.0
4940,33.0
4964,24.0
4984,20.0
5002,18.0
5006,4.0
5028,22.0
5033,5.0
5047,14.0
5072,25.0
5092,20.0
5104,12.0
5137,33.0
5144,7.0
5161,17.0
5191,30.0
5203,12.0
5213,10.0
5224,11.0
5243,19.0
5253,10.0
5269,16.0
5282,13.0
5300,18.0
5317,17.0
5323,6.0
5338,15.0
5365,27.0
5385,20.0
5396,11.0
5405,9.0
5423,18.0
5432,9.0
5451,19.0
5456,5.0
5464,8.0
5478,14.0
5491,13.0
5507,16.0
5517,10.0
5523,6.0
5546,23.0
5560,14.0
5570,10.0
5581,11.0
5598,17.0
5607,9.0
5620,13.0
5631,11.0
5651,20.0
5680,29.0
5690,10.0
5701,11.0
5717,16.0
5729,12.0
5759,30.0
5763,4.0
5775,12.0
5779,4.0
5790,11.0
5826,36.0
5835,9.0
5860,25.0
5879,19.0
5890,11.0
5907,17.0
5917,10.0
5929,12.0
5968,39.0
5998,30.0
6008,10.0
6025,17.0
6036,11.0
6048,12.0
6053,5.0
6076,23.0
6083,7.0
6104,21.0
6110,6.0
6121,11.0
6134,13.0
6149,15.0
6162,13.0
6171,9.0
6192,21.0
6223,31.0
6242,19.0
6263,21.0
6302,39.0
6313,11.0
6324,11.0
6352,28.0
6372,20.0
6391,19.0
6418,27.0
6434,16.0
6441,7.0
6450,9.0
6474,24.0
6502,28.0
6517,15.0
6536,19.0
6548,12.0
6563,15.0
6581,18.0
6591,10.0
6626,35.0
6642,16.0
6664,22.0
6677,13.0
6685,8.0
6696,11.0
6720,24.0
6729,9.0
6754,25.0
6763,9.0
6785,22.0
6799,14.0
6814,15.0
6836,22.0
6845,9.0
6866,21.0
6873,7.0
6887,14.0
6901,14.0
6914,13.0
6927,13.0
6943,16.0
6953,10.0
6959,6.0
6967,8.0
6976,9.0
6985,9.0
6996,11.0
7001,5.0
7017,16.0
7044,27.0
7052,8.0
7073,21.0
7105,32.0
7124,19.0
7144,20.0
7163,19.0
7173,10.0
7183,10.0
7204,21.0
7236,32.0
7242,6.0
